Family,Taxa,Pinnacle Total,Pinnacle Mean,Pinnacle S.D.,Pinnacle S.E.,Offshore Total,Offshore Mean,Offshore S.D.,Offshore S.E.,Nearshore Total,Nearshore Mean,Nearshore S.D.,Nearshore S.E.
Carangidae,Carangoides bajad,12,0.3,0.76,0.12,1,0.03,0.16,0.02,2,0.05,0.22,0.03
Carangidae,Caranx ignobilis,3,0.07,0.27,0.04,0,0,0,0,0,0,0,0
Carangidae,Caranx melampygus,39,0.98,1.76,0.28,0,0,0,0,0,0,0,0
Carangidae,Caranx sexfasciatus,302,7.55,22.14,3.5,0,0,0,0,0,0,0,0
Carangidae,Elagatis bipinnulata,3,0.07,0.35,0.06,2,0.05,0.22,0.03,0,0,0,0
Carcharhinidae,Carcharhinus amblyrhynchos,5,0.12,0.52,0.08,0,0,0,0,0,0,0,0
Carcharhinidae,Carcharhinus melanopterus,1,0.03,0.16,0.02,0,0,0,0,0,0,0,0
Cirrhitidae,Paracirrhites forsteri,5,0.12,0.4,0.06,0,0,0,0,0,0,0,0
Haemulidae,Plectorhinchus chaetodonoides,0,0,0,0,0,0,0,0,1,0.03,0.16,0.02
Haemulidae,Plectorhinchus picus,1,0.03,0.16,0.02,0,0,0,0,0,0,0,0
Lethrinidae,Gymnocranius grandoculis,0,0,0,0,2,0.05,0.22,0.03,0,0,0,0
Lethrinidae,Lethrinus erythracanthus,3,0.07,0.35,0.06,0,0,0,0,0,0,0,0
Lethrinidae,Lethrinus ornatus,1,0.03,0.16,0.02,0,0,0,0,0,0,0,0
Lethrinidae,Monotaxis grandoculis,4,0.1,0.38,0.06,0,0,0,0,2,0.05,0.22,0.03
Lethrinidae,Monotaxis heterodon,17,0.42,1.91,0.3,1,0.03,0.16,0.02,0,0,0,0
Lutjanidae,Lutjanus biguttatus,118,2.95,8.23,1.3,15,0.38,0.81,0.13,6,0.15,0.43,0.07
Lutjanidae,Lutjanus bohar,15,0.38,0.87,0.14,0,0,0,0,1,0.03,0.16,0.02
Lutjanidae,Lutjanus boutton,0,0,0,0,1,0.03,0.16,0.02,1,0.03,0.16,0.02
Lutjanidae,Lutjanus carponotatus,2,0.05,0.32,0.05,0,0,0,0,1,0.03,0.16,0.02
Lutjanidae,Lutjanus ehrenbergii,3,0.07,0.27,0.04,0,0,0,0,1,0.03,0.16,0.02
Lutjanidae,Lutjanus fulvus,1,0.03,0.16,0.02,0,0,0,0,0,0,0,0
Lutjanidae,Lutjanus gibbus,65,1.62,3.77,0.6,11,0.28,0.85,0.13,6,0.15,0.43,0.07
Lutjanidae,Lutjanus kasmira,7,0.17,0.59,0.09,0,0,0,0,0,0,0,0
Lutjanidae,Lutjanus monostigma,0,0,0,0,10,0.25,0.67,0.11,3,0.07,0.27,0.04
Lutjanidae,Lutjanus papuensis,1,0.03,0.16,0.02,0,0,0,0,0,0,0,0
Lutjanidae,Lutjanus rivulatus,1,0.03,0.16,0.02,0,0,0,0,0,0,0,0
Lutjanidae,Lutjanus russellii,0,0,0,0,1,0.03,0.16,0.02,1,0.03,0.16,0.02
Lutjanidae,Lutjanus semicinctus,0,0,0,0,0,0,0,0,5,0.12,0.4,0.06
Lutjanidae,Macolor macularis,193,4.82,10.71,1.69,49,1.23,2.04,0.32,2,0.05,0.22,0.03
Lutjanidae,Macolor niger,63,1.57,7.42,1.17,2,0.05,0.32,0.05,0,0,0,0
Lutjanidae,Pinjalo lewisi,52,1.3,7.31,1.16,0,0,0,0,0,0,0,0
Lutjanidae,Pinjalo pinjalo,13,0.32,2.06,0.32,0,0,0,0,0,0,0,0
Scombridae,Grammatorcynus bilineatus,2,0.05,0.32,0.05,0,0,0,0,0,0,0,0
Scombridae,Gymnosarda unicolor,3,0.07,0.27,0.04,2,0.05,0.22,0.03,0,0,0,0
Serranidae,Anyperodon leucogrammicus,0,0,0,0,0,0,0,0,1,0.03,0.16,0.02
Serranidae,Cephalopholis argus,6,0.15,0.43,0.07,0,0,0,0,1,0.03,0.16,0.02
Serranidae,Cephalopholis cyanostigma,19,0.48,1.06,0.17,13,0.32,0.47,0.07,0,0,0,0
Serranidae,Cephalopholis leopardus,2,0.05,0.32,0.05,0,0,0,0,2,0.05,0.32,0.05
Serranidae,Cephalopholis microprion,10,0.25,1.01,0.16,1,0.03,0.16,0.02,3,0.07,0.27,0.04
Serranidae,Cephalopholis miniata,10,0.25,0.67,0.11,0,0,0,0,0,0,0,0
Serranidae,Cephalopholis sexmaculata,1,0.03,0.16,0.02,0,0,0,0,0,0,0,0
Serranidae,Cephalopholis sonnerati,1,0.03,0.16,0.02,0,0,0,0,0,0,0,0
Serranidae,Cephalopholis urodeta,18,0.45,2.69,0.43,0,0,0,0,0,0,0,0
Serranidae,Diploprion bifasciatum,0,0,0,0,0,0,0,0,2,0.05,0.22,0.03
Serranidae,Epinephelus areolatus,1,0.03,0.16,0.02,0,0,0,0,0,0,0,0
Serranidae,Epinephelus coeruleopunctatus,1,0.03,0.16,0.02,0,0,0,0,1,0.03,0.16,0.02
Serranidae,Epinephelus fasciatus,2,0.05,0.32,0.05,0,0,0,0,0,0,0,0
Serranidae,Epinephelus polyphekadion,1,0.03,0.16,0.02,0,0,0,0,0,0,0,0
Serranidae,Epinephelus tauvina,1,0.03,0.16,0.02,0,0,0,0,0,0,0,0
Serranidae,Gracila albomarginata,2,0.05,0.22,0.03,0,0,0,0,0,0,0,0
Serranidae,Plectropomus laevis,1,0.03,0.16,0.02,0,0,0,0,0,0,0,0
Serranidae,Plectropomus leopardus,5,0.12,0.33,0.05,0,0,0,0,0,0,0,0
Serranidae,Plectropomus maculatus,2,0.05,0.22,0.03,0,0,0,0,1,0.03,0.16,0.02
Serranidae,Plectropomus oligacanthus,41,1.02,1.86,0.29,10,0.25,0.49,0.08,4,0.1,0.38,0.06
Serranidae,Variola albimarginata,8,0.2,0.61,0.1,1,0.03,0.16,0.02,0,0,0,0
Sphyraenidae,Sphyraena qenie,1275,31.88,145.76,23.05,0,0,0,0,0,0,0,0
Ephippidae,Platax teira,31,0.78,4.42,0.7,2,0.05,0.22,0.03,0,0,0,0
Holocentridae,Myripristis botche,1,0.03,0.16,0.02,0,0,0,0,0,0,0,0
Holocentridae,Sargocentron spiniferum,4,0.1,0.5,0.08,0,0,0,0,0,0,0,0
Labridae,Cheilinus undulatus,4,0.1,0.3,0.05,0,0,0,0,0,0,0,0
Labridae,Epibulus insidiator,0,0,0,0,1,0.03,0.16,0.02,0,0,0,0
Labridae,Oxycheilinus digramma,0,0,0,0,3,0.07,0.35,0.06,2,0.05,0.22,0.03
Priacanthidae,Priacanthus hamrur,1,0.03,0.16,0.02,0,0,0,0,0,0,0,0
